Generation,Rotational Speed
G5,n/a
,
n/a,n/a
,
,
,
,
,
,
n/a,n/a
,
n/a,n/a
,
,
,
n/a,n/a
DDR,n/a
,
,
,
,
G1,n/a
,
n/a,n/a
,
n/a,n/a
n/a,n/a
,
G1-G7,10K
,
,
,
,
n/a,n/a
,
n/a,n/a
,
n/a,n/a
DDR,n/a
,
,
n/a,n/a
,
,
n/a,n/a
,
n/a,n/a
,
,
,
G1-G7,10K
,
,
,
,
,
,
,
,
,
,
n/a,n/a
,
,
,
,
,
G1-G7,15K
,
,
n/a,n/a
,
,
,
,
,
,
PII,n/a
,
,
,
G1-G7,10K
,
n/a,n/a
n/a,15K
,
G1-G7,7.2K
G2,n/a
G1-G7,15K
,
,
n/a,15K
n/a,15K
,
,
,
,
,
,
G3,n/a
,
n/a,10K
n/a,n/a
,
,
,
n/a,15K
,
,
,
,
,
,
n/a,n/a
G1,n/a
,
,
,
,
,
,
,
G1-G7,7.2K
n/a,10K
,
,
,
,
n/a,n/a
,
,
,
G2,n/a
,
,
,
n/a,n/a
,
n/a,n/a
,
,
,
,
,
,
,
,
G1,n/a
,
n/a,n/a
,
G8 G9,15K
,
G2,7.2K
n/a,n/a
G5,15K
n/a,n/a
,
n/a,n/a
,
,
n/a,n/a
G6,15K
n/a,n/a
n/a,n/a
,
,
,
n/a,n/a
G8,n/a
G1-G7,n/a
,
n/a,10K
,
,
,
,
,
,
,
,
n/a,n/a
,
n/a,15K
,
,
n/a,n/a
,
,
,
G1-G7,15K
,
G8 G9,7.2K
,
,
,
n/a,15K
n/a,n/a
,
,
,
,
,
G4p,n/a
G7,n/a
,
,
n/a,15K
,
,
,
,
n/a,n/a
,
,
,
,
DDR,n/a
,
,
,
,
,
,
,
,
,
,
n/a,n/a
,
,
,
,
n/a,n/a
,
n/a,n/a
,
n/a,n/a
,
,
G1-G7,15K
,
,
,
,
,
G7,15K
,
,
,
,
,
,
,
n/a,7.2K
n/a,7.2K
,
,
n/a,n/a
n/a,n/a
,
,
,
n/a,n/a
,
,
,
,
,
,
,
G8 G9,10K
,
,
,
n/a,15K
G2,15K
G4,n/a
,
n/a,10K
,
,
,
,
,
,
,
,
n/a,15K
,
,
,
n/a,n/a
,
n/a,15K
n/a,n/a
,
,
,
G7,n/a
,
,
,
,
,
,
G1-G7,5.4K
,
,
n/a,10K
,
,
DDS4,n/a
,
,
G6,15K
n/a,n/a
,
n/a,7.2K
G7,10K
,
,
,
G1-G7,15K
AIT-3,n/a
,
,
,
n/a,10K
,
,
,
G8 G9,7.2K
,
n/a,n/a
,
,
,
,
,
G5,n/a
n/a,10K
,
,
,
,
,
G6,n/a
,
,
,
,
n/a,n/a
G1-G7,7.2K
